NU_INSCRICAO,NU_NOTA_MT
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,430.3
328ca19128d276eb4fbc309c54ec7f346c803d2f,760.1
27cdb62f0a2a5467efeb30aafbf246ed2320c532,430.8
c52cae37c3653620bbec72264c502f45ca2a8671,0.0
f9ef2695eb0986666093945894b8f2fee351bf22,491.0
2178c497293d0cab01ce74f5105b1a398fb12d8e,0.0
e21faa0c07406dde71ec02f266b19b314ba8b0e2,0.0
8a021391cdaac100dab56c59284bd50137a74129,542.4
12ee0df69325d97cb95404958c4acf4112aeab8a,0.0
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,485.4
66cf0f8b5af2466f9616fd15c0c10344df84982a,0.0
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,449.7
60edc5708acd60680891ea15379dd07c7a5924ff,0.0
b9f786712775e0d1d735398d710b01f404c985a3,425.8
564958997e204bda06fbe90afc4722805c78a855,573.3
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,428.3
527098f4ee3ceb5c393981930d23b8fe154f4db9,0.0
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,479.7
8296743fdd105ce9183561cf5b359b0a3781465e,431.8
a3b79e8c739832c77df2ba6bcdb23a7518155a33,0.0
6602c7f15a1fdd082265b64976448c6809df792d,442.1
31ae66f0fe024acae4490915c348e487f2367574,516.9
81901aa980653106e64863d957387d24e2c00af3,428.4
28e10d1bd0b6effe0edd503446ebda948ad240ad,435.2
53a7ee52a87f80241e2ca13c923e06b72bf3a059,426.8
50be5f75fdaedae454b0c3d63b7277854bd08d8f,0.0
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,0.0
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,588.4
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,0.0
02681b5c893b94db204713cb4b20dde6fc3f2f95,527.7
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,446.1
829dd51f77f3ae74c2216de2d86139bd0a03367c,0.0
28c6829e69879bc1d34db1cd51b89562d3cc596b,509.0
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,456.4
96715a069fbcb2e84b26a01563921962ccc4601e,0.0
923538833160e8432636c88e8119378a43b3d766,446.4
aacb834258765a2959ee63c57d2be4923d11a696,459.7
c32e484025571dd94255a77f21de08ab8d2aaba8,487.0
d425deeec0a3c7006f14d732eff8933d5155067f,494.6
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,463.3
716a178e9a6f7791b820da77879943ac9040a547,456.8
430212cd8767ef2bff8cda0f61729203fef7523e,439.2
e97d33221238e445688a0e984778d4ecac788be2,475.8
695c9481580951d830c4431fc6c9dee778ba9ca1,0.0
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,498.6
0411742cbb54fe1b6927b25f0bb52b885828c828,445.9
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,426.9
bc40729846bf209b06e2a9a890e01d4e6780f5b4,0.0
e4e7a38b58319ad0a5cde4848622b21783c907e9,466.7
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,572.6
aec1b63c3f0c9554e533752d8fe138ca82101d4a,440.9
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,465.2
4b48d500ba4410546ce01f7f6d44bcbafa73994f,431.5
edf33c347c866d26872f540bcc1f6ae415f3294c,452.9
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,498.8
3a265ea6ebdc4eb2520db912adf5592f03b3d634,428.7
99bfcef2dc3695a617f241bfd3b6ead3fd653d41,0.0
0ade5488fd62db34c11a369bdbb4327faacc1635,0.0
e418fbb77e6ff4103205f3b7f6a66d53183d809b,452.9
8ddbfe70cd41135cb6f125335a48d100789edbf7,424.5
fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,0.0
1d3e406d0223d4cb0328850d689ba9fcadf62776,430.0
67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,0.0
ecaf075653faf2dcdf946c0ce50629f5083347c0,471.1
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,475.4
d43894c5e83bb3a7e5000636295b0b050de19309,0.0
5b7877d12550dd35d27a02b66a13f2a27bce11ca,433.9
18f800ec03e33ebad5fb97aa8465dd3e5961337e,436.1
bb39cc6296f2c9da3963994899c5c34b50965720,0.0
76facda8958cbaf5dba09a4d35d3b4de7596a49d,0.0
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,489.2
e887be276bf553575b20ed1a0de8833d9cb7e247,0.0
cc8794762ffa592758b5117d67e0d02e2e8b9c49,508.3
894d277c608610fa8c31db531f64582b9569b2e9,437.3
b2e029961aa0f20071b74708e0d97e6f200ec582,455.4
12c7d85e168b09a0278df140a22bcb0052a59b0a,430.5
64c4892488a9c6281bdabf467a0b5a6382d248e6,489.8
944e790f6e64eccf6df361247858165f17dd7abb,0.0
ac112e94587e6e4249b7182329ee5a5040ae94ea,517.5
a58cf11e498228f9aaca92b0c49f955a6163fb59,434.1
e8c84701c041b7f3b39f3125a0449fa633589fbe,495.5
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,604.6
c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,0.0
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,429.8
e64ad901853230e396be49311ea98121c348fac6,463.0
8532af19be3729ea233c1f29e4c015820fc7fb3a,476.0
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,442.4
26853fd075fe27954772c3070997635b94f32b83,428.3
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,519.9
574ec310dee846f9ae8eb278480257d463f6fbcc,482.6
ebb32b8df4ff9b202ba904f310724ce230cb4305,0.0
8a46e35787225c3e7adef2b998ad9c93a952106b,508.8
b62bf908b504e8c6898777a7f5b88afed358caea,440.2
10d22971ca4f53fc62d02905809ff1c37fbb68fc,583.9
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,435.1
cad47b624b484cb16291449cee30707a46c20199,0.0
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,573.3
bb6c0df09cb6663f142ce6da382b804353453af2,0.0
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,456.1
7bd0affe1bdd3681a0faecd80a3d48c023b986de,0.0
d76614020539405f481c0f5ffb9e6f88a0bf21b7,445.0
5ce2df96a99343819ead41bf242044177439696d,0.0
c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,0.0
a9216c3fc0c0bf14cda0ca26a71c205458b74896,0.0
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,475.0
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,450.3
176b027cd932b17fcb6f119cfcef338a175062b8,427.7
41474f2dda61d97f38ba79906d3dbcce223d1bd1,509.0
421eb738f9e2ea73e5f4227c915762d6421102ac,0.0
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,490.1
f113b266aeb3cb19dca62ae88de7cc55a13efbf1,0.0
134d96275e3893946c3a0e1d59f86b336fe64f6e,0.0
d4e97da32ccb6987ec074aa48c24ce949c05a78c,434.1
fa556e489987a0588e9a8edb5327e2bde1679670,0.0
95c1d266a2524560761df98b376c17604733a6ad,524.4
c11c4303d2632cde64105a35554ecb77a8564260,456.9
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,475.6
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,546.4
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,450.1
580c34923cbde328e0aef1641dd02033fc862c04,449.8
156e1fb82056b0f6953c443446eb4dcceed7c03b,0.0
29d8bf198da9caa59047268faca60207da24d1b7,521.8
1b3f80a1cd9fff0408e96169fcaf006936b34fed,452.7
b5932043b62e0c58e16e2cc2c9d5489390e5c895,452.6
99092cc60948943c59d68d62ed81a75a03059113,457.2
fbfc631ae23a558d8dd92916cf2e8b5f923b0681,0.0
dd69fca6f17420dc911016a79e70583ca7ea330d,439.5
d387995af060965fb9d18973f3dbf4904f071066,426.4
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,453.6
543674772357cf9d8a7a8e7dfb89384af80ec30e,494.3
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,440.7
dc2699d27649dbe52ebbe10001c0bb5ba71310c0,0.0
0736d379ea0962e316ce84cce8e883321be36abb,430.9
98cc842c547c69a0d27776e272fd8b61131b0b37,429.8
890b7696fa85ca2b3e90b3951efec2135e88d5cf,453.7
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,736.1
d84b48f7dc7a6e387e6e985525143589754c5b13,456.9
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,479.0
dc4fe9d4124d9278f58f6f999711116a3fe58be7,463.9
f6624d763619c0898b34dc02adf06f53a1721cd0,446.5
60b1c12559860e7ad966da4c4db5c78e17278fc0,502.9
a3f3dcb89101d86171f8bb4f4f57939717cf298a,0.0
4f365503582b97ea96462d0d36895a5e7f5926df,429.9
c80869804effb21d50cc8fff3f4c27ba5521240c,424.0
d0f351638d60e84b890a498d69c9a7961cdcdf36,432.7
48e8ec135997ff3676648d5c144c3c7150a7bbb1,433.6
45484014aefd10ea3e4b08fb93e66c251709cca6,435.7
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,440.4
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,425.9
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,568.2
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,438.0
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,557.9
c83c66733c5bd90a59996e473bb69e44f6522976,437.8
69c67ff1933e4fa099182bbcb24a229d0ad84d5d,0.0
4c373daf5547a6292c4905696c148ec83f95f083,0.0
4549620b5459bb28990580f4ca0b4c2adc5b1a68,0.0
87f89c855f377c5b100ad2986cc6569e31d94a98,539.8
d0d8601aab147c191ae37365a930c1ed3eb0414b,0.0
9a25537903e8e7eab1dfb357903d241e24e86fb8,0.0
eaecf3dd32668664e1dcc2d6c7a69042824806a6,434.5
d19fa85793fcb8ae3126d10592c9c57d3b32971f,0.0
c59b370d3aa06b68878c836bceac844953d74972,438.4
5a6d397150d1a9e9c82e120f92d1e782da34bddb,0.0
b2128312e70fdb830091aecb6b27d82617e2e226,429.4
8257941af168c0cc15f28bd596fd922352dae732,429.2
854ce153823802674f35bbe1ec010b12e9b3a56f,430.1
27f1db4e266b154f6f7fbef9c225fab472652a7b,440.2
11b90bed4a05d11169f308370faf81d6e9ca2c4f,435.6
5c55b7aeae6cb75ec715b4629812175239e45c15,0.0
1391c7de937e0fea2ad23ebb111e513bf2aca2af,0.0
e9488c35627294cd8f5a809c0667aef7a3f0d465,0.0
39c22d725a24b290af887b25175ae0a8d560db4b,0.0
e001e1d73163c327a4d800697b1b36cd6921f60d,465.8
b83424ca8973e4b2eebf6eb9e26e842999432d22,424.6
202da3f471204ad489ebf0c3856437337534112d,0.0
912d751c54b46c860c5ba61666fc6fc59ca2689d,423.0
8376d681a277c58f06ab633a06eaa66391126246,0.0
e114f7b197069bde8e158a0dbeaa022dd0c4e280,441.7
fa84edf183bd459ea9394d77bdc191683a75ff66,567.3
76190ff09a736ff83169394b770699b2709c5a27,467.9
515db15df8581ae72bb8e8358833016adee74e02,451.7
e2a05053c19e6fba60d0e582e6c7f371728a7106,450.1
66c14322296ac259374ec98c5c3bb2bd67ba25e9,0.0
2378556841bc8d5746f2b94d6adefc2db20f9518,516.5
1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,0.0
796d558152d241567f8a72b535a5e36fe78886f3,432.6
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,511.9
3c748fc7a94edb7ac1484373751ffa8574a3281d,439.5
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,426.8
92510f53e4c26c81c3bb41aa9b4e967d1697cd12,0.0
10a1e8808e744c619376bff659f859cd71e8c41d,437.6
fc959dafc37dde3f173f083486d84ce5c817443f,433.5
6979d91c0a1903a336c640e14eed100821a0e24d,452.2
d4e37c4c1235ce014392f6c8ba0436f195b9e459,511.6
65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,0.0
565a955a60c6073157aa869c0351c626a7171ef3,525.1
5697c01ee87a008056ebc0993a1028b41a26d251,0.0
99be797e423b5ae08fe342ea772738f71975df47,675.2
b579ea83f2d6c15b2c717d16a89827d65f39904b,460.0
e9373b5c22567bec508f2fa2580e4dc3ff687caa,521.1
a465af361b68bd536dd8bf61d522b9b21755ab60,513.5
c8feec2a94d996d03534ce935dec7a034667f107,779.9
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,477.5
f4f7888cfe88b7a3b0f3d94749921976353ae82c,475.5
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,472.9
2e466f15ac7b80870736fac2d0cf4bd7f362e852,438.0
85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,0.0
fc83a5c665f70f39b4c7d326118cbf21a898e660,606.0
c26fbd904781a4f6c37a8f8969778f687c6c1424,0.0
ced4913c2220be57c54bc9f87bb4f441d5976671,449.3
880ade460a231d722e8bb0e4d17f3c8f77663d37,426.5
7c869f5b89ddf3130c87011b6508ee59e32682c5,445.4
9027f65d4e576928ca59690c280050c53d66506a,663.8
09eb415bcb9842d207139c8bddf32427a134d51e,511.2
f8224c83e27f4921df62876f7ff660b1dab3d974,481.9
628b91ee9b4e1e4564424fbfff2ea9f8eddca032,0.0
dfec3182aec0997207e0845b072498065ec89aac,663.2
d653549f6d0ba70e2113b2cc56e9a83e331d2462,564.5
e95674df974af80342f676ca9e3540aecec2b8dc,493.0
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,555.2
2b7b15015ab18dc51893827c7e3f01d931a70410,0.0
22d86e8b43a9412df86ec15ac231b9919e3ec905,455.3
1c61035799f6afe7f44c1fb68567d7a8945c3943,571.4
d5ed4b8732b0d7127a64f7e71137d321c56cc198,432.4
63edbbe59337f861a710bee4fe8a691d231f23da,426.7
f62bf9257782d839d38f84376b79611ed0de655d,0.0
cf14952b5b09ad1a9497769e3a08da2fd74c6102,0.0
21b8ef230efbfca6b5f15b36a3243d76ed390967,495.4
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,424.6
467fdbfc0c6cab31b0d85ec5e373d82fa3790321,0.0
3de3c134579726fe4606b7a05f82ce19f00adb09,674.6
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,429.9
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,428.2
520c60d32fd2af8be76abd332859b36d8ae45900,448.8
6cb6e2310b52c2898e500f81bea938446592568b,489.6
0193b535914e1c5a445bede11a408bf1709cd3cb,458.9
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,471.6
c512a461034cd90a9c5f1a32332b748041cfeba3,0.0
6f77bbe0fc418131d06d15f50b30073eae680dbb,0.0
9b378e3937af8e97d4753cdf0c8917306354aaaf,454.2
1c92f54a5fe563622a0e23cf116461a7e147efd8,531.8
90facc45f7578775e3278aa0bd4fb59dad4d37c1,446.7
563bd02a1204c85e79026a020ba5af29bce95c12,0.0
c8062c4cc7e023996bd37b87295f5a2957ddb172,471.2
ea7cc5987f9cc7f756d501961f64fa5769013823,0.0
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,561.5
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,433.3
1b61f7e184c7040ae4cea725153965e1f7f75308,432.4
aea68e00d370c2a0cfd02bf868824dec427bf23a,0.0
bdfdc7207977f88b15b3d0559fbf6f05b970c9cb,0.0
95a9c65324583892b2d1a0c1c5163488f92d4a6d,424.2
5b7e7632cf766876026d0da6aa7c6df77bc13438,443.1
a3be14b06b7aef01331da18e7a1678222b563151,0.0
92b8965cf3fb76d11e5061f26e577c23d212b9c5,0.0
96fd0462597b8cf21b1e918c1947106cd8359e5d,510.5
5c1cef937c40bf8c30c119160bedde7ef679454e,603.0
27dce80bee1eadbcd82bc7d09adb063e116870f6,0.0
271a7e5b703fc3f29f6669415048a760e6355c5b,0.0
e39fbeab552a4b6492346d821d095c3a0d691555,445.2
93694c58636eabfe86550e734efb3775ba4d739f,492.2
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,673.0
6c05e70130682975c1485a862b6e08b895650671,431.2
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,424.5
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,425.4
283df09083d3c7bec2590f22355c7ba32ec88623,470.9
40b96e97dc29dfc990656e30c1038e846b6c8ff2,0.0
ff362d0a648559b9146fb97ee248eb423c3d6a50,0.0
717ae2ab18e7ba03c4f3af66500ece6580b29b71,0.0
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,552.1
23131f453efc29c2af9553d307692c60a3add1ae,443.5
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,428.5
941646a7d24ee2837d7de90ff0a736bb8f61d68c,427.0
cd705413010e6e74f3b90ee78dbbd8b767488f0c,0.0
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,494.5
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,429.5
72882a9cffe151d94be90e02ce3967a91b628099,462.1
cf62916c9829bd3ad05104151eee856d6de7ca1c,606.1
6b8f4241357e65c0491cc0ef96396f811574134c,444.0
298806ed4313157d412e860ac3ea8833d6ca6970,0.0
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,427.2
4485f973590cff61be5ec78cb3032d5fdf25b809,0.0
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,457.9
e2252b8e020cdf19b796baeb7b2c7b000a7bfb87,0.0
8288badec4740382dbf7c33e4095cd4db0021bf7,424.3
5e139289eb167622f915eea3d1d6e49d15d1c873,476.2
fc050b2c8fa3446890fe1418332352177dd34506,447.4
8f309746992f374b4c2ea88f171233a9469ba649,449.5
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,457.2
145b6344526f9df32f4046c8227282477c51d69f,440.0
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,461.4
b23775f4cd460ba687d77b058f2bc46381a0fbfe,436.0
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,626.2
9d2de5f93789220f3287c5b2bff6e4ca5c0f5e42,0.0
08b5008c1ba3ee34dcafcb332c51d485da0313f4,0.0
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,444.1
2bf8abe8000927aeff885fdb26e82579b54bb657,430.0
fb745761567cc26fe3b8240866c481797bc4aedf,0.0
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,484.8
3ef584654da4e658ecdffb68bc4398c97f850ccf,445.2
342a52f77f29b040bf07e9d4de7029ad604de09c,0.0
ea90166cae72eec871b4100ed8df997253bea84b,469.4
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,496.9
39e7d2bf0be98a9698aa1369b7ca5576d392a777,445.4
01d88812b1d865b9797b9c57ed7538527593eb1d,547.4
879d82fe92a01214851fbeb62cd533fbc9d4ab87,538.4
9d0302fe7230d42fc9b5b995f2133c9db7513dce,0.0
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,453.0
a185d42f150631e1f22e1d81f965dda9833d0bec,437.2
c5994a51d6c24ee4360aee344cebf55bd01c39e3,507.8
bbe2574187920d91ca67a657c5a476f92f8ac142,452.3
8637d558542ccd4a1cd1d3ab336711edad60a966,451.1
30fd3c461823b211ad79159256fdb3eb101deff0,440.1
8fc264880ab920d1847cd48307d22ae465c4be14,0.0
d84f79e6c625a4c581a74ac4cdee661e6a69584b,0.0
fa78d232e5d879c81cfc136341b2ac1e22199a44,0.0
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,439.8
b64320a06b5488023d6db73962a0ef06cfb5c4d3,0.0
4d12becc50fceaa6423313e98858cee7d438cc36,470.6
5c55594ff65d25732d6104cf60588ae877cb6e9c,608.6
8b1835ec3b546305fba72996c9e8b1941f6f3fd9,0.0
e7eda9aa4a5dd77a968c91492fe232a0ee51bafe,0.0
8811c9e0834082ca3b09b556baf8674c55426155,0.0
03d703acff40c67a804e3d7993f02e710af9be58,0.0
ebd6ed760a482a95ddc04d78254761296ea73608,508.2
4ea487e7fd10b89407bd3c72366366f5b505847f,507.5
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,450.5
10759016b000d342d3ee6f8d8961c5b9dea8db52,0.0
f3c7b5755e5b5311a38cc0b67bfd54fe9adb7b7f,0.0
49a9374bc759c6a4d1f8fce5ade5908afe72803c,451.4
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,446.3
0f31c91179f811dc6de3d071914cba2716013473,431.5
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,459.8
a785bd6e2a4ae24b8c162fe6506c8c995d36bbad,0.0
a945e7b0eedbc6722edf61c6e9115199efa0e79b,609.3
b52cae71211465e9b76723d1dab3cbb973a76a5e,451.4
c64825379cc10911781e842c315951b835c0246d,435.3
5a4837ca6347926f18a7da8e38c8bc7339f7aac3,0.0
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,482.1
d077ad9b71684906e32bdfefac01c893ff875c40,513.7
0e02316fc08deb2a0ccf7b606d3564cf17d6763a,435.2
